id,empresa,nps,npstipo,causa1,causa2,causa3,region,prod,verbatim
2000177972,Claro,9,Promotores,La atención al cliente,Facilidad de compra (nuevas líneas equipos chips prepagos,Facilidad de compra (nuevas líneas equipos tarjetas de cré,SUR,Mixto,PORQUE NUNCA HE TENIDO PROBLEMAS CON EL SERVICIO EN MI LINEAMI INTERNET ES MUY RAPIDO Y NO SE PARAN LOS VIDEOS
2000016927,Personal,5,Detractores,Los precios y variedad de planespacks,Beneficios en las recargas (Multiplica crédito sms ilimitad,InternetDatos a través de celular,AMBA,Mixto,PORQUE ES CARO HAY OTRAS EMPRESAS QUE SON BARATAS CON RELACION A LOS MINUTOS PERSONAL ES POCAS LO QUE ME DAN
2000165641,Movistar,10,Promotores,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,SUR,Mixto,PORQUE ACA EN LA ZONA ANDA PERFECTO Y BIEN POR EJEMPLO ACA IGUAL TENEMOS CLARO Y PERSONA PERO PERSONAL ANDA MUY MAL Y MOVISTAR RESPONDE BIEN NUNCA E TENIDO PROBLEMAS EL INTERNET ES BUENO OSEA EL RAPIDO Y FLUIDO
2000001626,Movistar,10,Promotores,La atención al cliente,Cordialidad en la atención (telefónica locales comerciales),Cordialidad en la atención telefónica,AMBA,Prepago,PORQUE TIENE SEÑAL EN TODOS LADOS Y ESTA BUENO
2000017381,Claro,8,Neutros,Los precios y variedad de planespacks,Precio de la recarga,Números gratisamigoscomunidad,AMBA,Mixto,LA DEL INTERNET NO ME PERMITE ENVIAR VIDEOS NI MENSAJES Y DE LAS LLAMADA PORQUE ESCUCHO INTERFERENCIA
2000006633,Movistar,8,Neutros,La calidad y cobertura de la señal,Calidad de envío de mensajes (SMS yo Whatsapp yu otras apl,Calidad de envío de mensaje de texto (SMS),AMBA,Postpago,EL SERVICO LA COBERTURA EN ALGUNAS ZONAS Y LA SEÑAL 4G DE LA CAPITAL
2000011706,Movistar,7,Neutros,Los precios y variedad de planespacks,Números gratisamigoscomunidad,Mensajes de texto incluidos en el plan,AMBA,Prepago,MEJORAR LOS PRECIOS DE LOS ABONOS ME DURA POCO LAS POCAS QUE HAGO UNA RECARGA ME LLAMAN MUCHO DEL CENTRO DE MOVISTAR PARA ACEDER A UN PLAN
2000014677,Claro,8,Neutros,Los precios y variedad de planespacks,Precio de la recarga,Números gratisamigoscomunidad,AMBA,Prepago,CONSUME MUCHO EL INTERNET EN GOGLE CUANDO VOY A PLICACION
2000007092,Movistar,8,Neutros,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Mixto,LA SEÑAL PORQUE SE VA 
2000009830,Movistar,9,Promotores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Mixto,PORQUE NUNCA ME E QUEDADO SIN LINEA Y CUANDO TUVE UN PROBLEMA ME LO RESOLVIERON AL INSTANTE
2000154399,Claro,7,Neutros,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,LITORAL,Mixto,LA SEÑALEN EL LUGAR DONDE VIVO HAY PARTE DONDE LA SEÑAL NO INGRESA EN LOS BARRIOS NUEVOS QUE HA REALIZO EL GOBIERNO DONDE HAY EDIFICIO NO ANDA MUY BIEN LA SEÑAL SE CORTA
2000155297,Claro,4,Detractores,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,LITORAL,Mixto,LAS FALLAS SON EL INTERNET LA FALTA DE VELOCIDAD NO CONSUMO TODO EL CREDITO(SALDO) Y ME LO QUITAN DEBERIA SER ACUMULATIVO YA QUE NO LO TERMINO DE CONSUMIR FALTA DE SEÑAL EJM ME LLAMAN Y LAS LLAMADAS NO ME LLEGAN
2000014745,Claro,8,Neutros,Los precios y variedad de planespacks,Precio de la recarga,Números gratisamigoscomunidad,AMBA,Mixto,TIENE QUE MEJORAR LA SEÑAL PORQUE EN LOS CAMPOS NO HAY ANTENAS CERCA Y SE QUEDA SIN SEÑAL
2000013600,Movistar,6,Detractores,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,PORQUE EN REALIDAD LE PONGO 6 PORQUE LAS DEMAS LINEAS SON MALAS Y MOVISTAR ESTA AHI Y EN MOVISTAR LA FACTURACION ES MALISIMA PESIMA
2000177379,Claro,8,Neutros,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,SUR,Mixto,LA SEÑAL YA QUE A VECES EL INTERNET SE PONE MUY LENTO PARA ENTRAR A LAS PAGINAS E INVESTIGAR
2000006199,Personal,8,Neutros,Los precios y variedad de planespacks,Precio del plan,Precio del planBeneficios en las recargas (Doble crédito m,AMBA,Mixto,POR LA SEÑAL FALLA EN DONDE VIVO EN DELTA NO TENGO MUCHA SEÑAL
2000012793,Movistar,8,Neutros,La calidad y cobertura de la señal,Velocidad de conexión a internet desde el celular,Velocidad de conexión a internet desde el celular,AMBA,Mixto,EL INTERNET SE ME CORTA Y HAY DIA QUE TENGO Y DIAS QUE NO TENGO DEPENDE DEL LUGAR DONDE ESTE EN ATENCION AL CLIENTE QUE CUANDO LLAME QUE POR FAVOR ATIENDAN Y NO ME HAGAN ESPERAR MUCHO
2000012586,Movistar,7,Neutros,La modalidad de pago de la factura y compra de producto,Claridad y simplicidad de la factura,Facilidad para encontrar puntos de venta y pago,AMBA,Postpago,LA SEÑAL YA QUE DEPENDE DE LA ZONA DONDE ESTE HAY O NO BUENA SEÑAL
2000155961,Claro,9,Promotores,La calidad y cobertura de la señal,Estabilidad de conexión a internet desde el celular,Estabilidad de conexión a internet desde el celular,LITORAL,Postpago,TIENE BUEN SERVICIO CUANDO RECIBO LLAMADAS  NO HAY PROBLEMAS CON LA DISTANCIA
